Site_name	Complexity	Nursery	Type	Mod_pred_biomass_5	Mod_herb_biomass_5	Mod_inv_biomass	Pred_Fprod	Herb_Fprod
Forest	Yes	X18	4	101.9109202	33.06384149	9.938449089	22.39481237	5.352558633
Kalabas	Yes	X18	4	116.9866731	45.92637759	8.98432674	17.76254733	6.470227726
Karpata	Yes	X18	4	86.90034475	32.5046965	11.37696578	19.3689506	5.666867885
Mi_Dushi	Yes	X18	4	109.1636619	26.60716318	12.71300064	38.17486532	3.940257445
Oil_Slick_Leap	Yes	X18	4	99.77894752	41.17243096	10.38322379	19.04214451	6.509106701
Playa_Funchi	Yes	X18	4	83.6415183	27.09102428	16.08452669	33.76658825	6.059721064
Aquarius_nc	No	X18	3	37.52252586	12.71426287	23.71695517	16.22687797	0.625429547
Forest_nc	No	X18	3	38.54785452	13.00443631	22.79177591	15.45268103	0.551335848
Kalabas_nc	No	X18	3	38.91204742	12.76545761	23.00909786	14.34432404	0.547453544
Karpata_nc	No	X18	3	37.37060159	11.90040908	25.64005595	15.17240556	0.722676846
Mi_Dushi_nc	No	X18	3	38.6927524	13.7221125	22.34706743	19.19085717	0.497553483
Oil_Slick_Leap_nc	No	X18	3	37.51821553	11.8764588	25.72230091	15.13472881	0.718234473
Playa_Funchi_nc	No	X18	3	34.7067324	10.24433045	31.14664259	18.40350616	1.127901394
Aquarius	Yes	X20	4	131.799567	31.11533553	10.97259718	32.98093066	5.482573085
Forest	Yes	X20	4	117.087894	26.29181308	11.49285607	33.388242	4.591421881
Kalabas	Yes	X20	4	133.2294123	36.84206388	9.724122781	23.53644355	5.753002164
Karpata	Yes	X20	4	99.1655031	26.55472109	12.4756319	26.45196988	5.049170337
Mi_Dushi	Yes	X20	4	124.9954476	21.47543758	15.03087171	55.26110559	3.164611526
Oil_Slick_Leap	Yes	X20	4	113.9138004	32.83503316	11.43698033	25.75471017	5.808159033
Playa_Funchi	Yes	X20	4	95.14330291	23.28170978	17.79345491	43.84850145	5.652539539
Aquarius_nc	No	X20	3	47.84698953	12.10452551	23.14838796	22.23116359	0.576943796
Forest_nc	No	X20	3	48.85288758	12.43865612	22.33076429	21.60448051	0.519912321
Kalabas_nc	No	X20	3	49.85664989	12.15522342	22.00009572	19.1018192	0.506391496
Karpata_nc	No	X20	3	47.31138157	11.22218166	24.60294648	20.99177363	0.684832764
Mi_Dushi_nc	No	X20	3	49.34838068	13.15457647	22.61932101	25.83531914	0.467916213
Oil_Slick_Leap_nc	No	X20	3	47.44072958	11.21022155	24.6950909	21.02452863	0.685032012
Playa_Funchi_nc	No	X20	3	44.90603172	9.647345998	29.2931016	24.39263931	1.076952232
Aquarius	Yes	X23	4	118.8722746	36.87212403	9.536325857	22.95876387	6.054953951
Forest	Yes	X23	4	105.1906531	30.56615816	10.16881635	23.88982652	5.097146425
Kalabas	Yes	X23	4	120.7641417	42.16097048	9.121875812	18.66748014	6.175742015
Karpata	Yes	X23	4	89.72312867	30.00022605	11.55160129	20.2985071	5.408187637
Mi_Dushi	Yes	X23	4	112.6065795	24.3238714	13.11954584	40.88077199	3.629215177
Oil_Slick_Leap	Yes	X23	4	103.1333137	37.77333974	10.50988236	19.72994114	6.231037767
Playa_Funchi	Yes	X23	4	86.02313595	25.28523499	16.44610341	35.39959577	5.854978233
Aquarius_nc	No	X23	3	39.40950917	12.04665135	23.65193285	17.15342251	0.456677806
Forest_nc	No	X23	3	40.44406054	12.3701211	22.73582498	16.40486928	0.39809453
Kalabas_nc	No	X23	3	40.97306843	12.12639296	22.87982931	15.07710881	0.392194701
Karpata_nc	No	X23	3	39.22085984	11.17082281	25.53275889	16.09750045	0.540347832
Mi_Dushi_nc	No	X23	3	40.57921955	13.07032071	22.42131187	20.14698431	0.348626311
Oil_Slick_Leap_nc	No	X23	3	39.36783235	11.14488013	25.61918104	16.06856953	0.536555009
Playa_Funchi_nc	No	X23	3	36.5823686	9.348225835	30.88705361	19.32949806	0.871291669
Aquarius	Yes	X28	4	153.4338196	23.5444892	13.91316134	55.78792137	4.50062149
Forest	Yes	X28	4	137.9244589	20.86329901	14.37947933	56.14489263	3.729611604
Kalabas	Yes	X28	4	154.0531214	27.18393003	11.67042064	37.99907501	4.727794447
Karpata	Yes	X28	4	116.9531053	21.17584273	14.61617213	41.43861739	4.359005751
Mi_Dushi	Yes	X28	4	146.4323542	17.55429064	18.61018875	85.60884041	2.384840124
Oil_Slick_Leap	Yes	X28	4	132.8104588	24.9965765	13.45778768	39.80139597	4.976042879
Playa_Funchi	Yes	X28	4	113.0159115	19.38607928	20.60092028	62.87411564	5.151773533
Aquarius_nc	No	X28	3	64.71368874	11.45700632	23.02838232	34.93361983	0.580192174
Forest_nc	No	X28	3	65.74468925	11.83417943	22.36942961	34.57089166	0.52742841
Kalabas_nc	No	X28	3	66.24997641	11.61227926	21.63648402	31.11432038	0.530946535
Karpata_nc	No	X28	3	63.50477524	10.51215404	23.85075534	32.62806501	0.716355952
Mi_Dushi_nc	No	X28	3	67.03392274	12.53974979	23.4991916	40.74417692	0.465571406
Oil_Slick_Leap_nc	No	X28	3	63.65173579	10.50909169	23.96774653	32.77466076	0.719005391
Playa_Funchi_nc	No	X28	3	61.42226633	9.19518247	27.80552087	36.32714536	1.152283796
Aquarius	Yes	X32	4	110.0048683	47.70101534	9.208978273	21.51045357	6.982866927
Forest	Yes	X32	4	98.39045988	38.64273428	9.865130235	22.29630367	5.916032447
Kalabas	Yes	X32	4	111.7490176	55.46170034	8.907934323	17.65046981	7.207834555
Karpata	Yes	X32	4	82.98004607	39.00724819	11.25166748	19.36870404	6.346955156
Mi_Dushi	Yes	X32	4	105.3960137	32.67550677	12.51820756	37.4377256	4.714147578
Oil_Slick_Leap	Yes	X32	4	95.04057709	49.87739007	10.43640231	19.84112125	7.22544918
Playa_Funchi	Yes	X32	4	80.75444805	32.68652993	15.61429048	32.93088882	6.7033137
Aquarius_nc	No	X32	3	36.10650285	15.8047057	23.61120772	15.60519429	1.431007646
Forest_nc	No	X32	3	37.09047193	15.97299957	22.70602925	14.84092832	1.302611361
Kalabas_nc	No	X32	3	37.32320992	15.71205534	22.94761229	13.84479939	1.300297263
Karpata_nc	No	X32	3	35.91115062	15.15049585	25.44666162	14.57570633	1.585439234
Mi_Dushi_nc	No	X32	3	37.31277902	16.85578072	22.26835351	18.63767564	1.25061807
Oil_Slick_Leap_nc	No	X32	3	36.0395356	15.1461625	25.524087	14.55180315	1.583859465
